source	target_relative_to_media_root	public_url	size_bytes	sha256
apps/web/public/vendor/valve/video/heroes-favorite/death_prophet.webm	dota/heroes-favorite/death_prophet.webm	https://prereborn.ru/media/dota/heroes-favorite/death_prophet.webm	296778	cf9c6d8931197dd147b1e546bdf8800140a59aab695fed029889ab3ff5a0ade7
apps/web/public/vendor/valve/video/heroes-favorite/disruptor.webm	dota/heroes-favorite/disruptor.webm	https://prereborn.ru/media/dota/heroes-favorite/disruptor.webm	350853	91d1d3f862d9c35b357171ea1cf4a5813da7684dcf7b5a2528053ca77b74dfc4
apps/web/public/vendor/valve/video/heroes-favorite/doom_bringer.webm	dota/heroes-favorite/doom_bringer.webm	https://prereborn.ru/media/dota/heroes-favorite/doom_bringer.webm	279918	7819664cdb311f6e5a6bea68779762888c3696ae744447271c59b21cf9712649
apps/web/public/vendor/valve/video/heroes-favorite/dragon_knight.webm	dota/heroes-favorite/dragon_knight.webm	https://prereborn.ru/media/dota/heroes-favorite/dragon_knight.webm	58206	593448892eacc0dc8f7b771fb41950b22266e525815e4ffbb70a40374c78c83d
apps/web/public/vendor/valve/video/heroes-favorite/drow_ranger.webm	dota/heroes-favorite/drow_ranger.webm	https://prereborn.ru/media/dota/heroes-favorite/drow_ranger.webm	167696	bf40298a55e9390d719d9a994361bde2b9570055a298974c3d103fedf435569d
apps/web/public/vendor/valve/video/heroes-favorite/earth_spirit.webm	dota/heroes-favorite/earth_spirit.webm	https://prereborn.ru/media/dota/heroes-favorite/earth_spirit.webm	648678	7f881683e9b50414f796923c4485f5875b00a23d0de5ffa7626cddb37d83d0f9
apps/web/public/vendor/valve/video/heroes-favorite/earthshaker.webm	dota/heroes-favorite/earthshaker.webm	https://prereborn.ru/media/dota/heroes-favorite/earthshaker.webm	170821	c45f28ddd89a6cdcaea5b2c98bce5bfae5e45f47c0637cf7d173bdcf0999cd90
apps/web/public/vendor/valve/video/heroes-favorite/elder_titan.webm	dota/heroes-favorite/elder_titan.webm	https://prereborn.ru/media/dota/heroes-favorite/elder_titan.webm	184307	d54a4b107b93be34ef353852fabc295e1110ea41dd488cb6d57720cd8c3660cf
apps/web/public/vendor/valve/video/heroes-favorite/ember_spirit.webm	dota/heroes-favorite/ember_spirit.webm	https://prereborn.ru/media/dota/heroes-favorite/ember_spirit.webm	570077	e0a2198f4766546f96d70ee319ea4039540f51974b36feab37eb7db2e29dbd60
apps/web/public/vendor/valve/video/heroes-favorite/enchantress.webm	dota/heroes-favorite/enchantress.webm	https://prereborn.ru/media/dota/heroes-favorite/enchantress.webm	282380	a9e340e45d3de3789367839da98284176f5d39de1dc5852dcea84cd95d557bf8
apps/web/public/vendor/valve/video/heroes-favorite/enigma.webm	dota/heroes-favorite/enigma.webm	https://prereborn.ru/media/dota/heroes-favorite/enigma.webm	214893	651d216c11a0264404a153a750cd45570fc63c123ddd55a11b61bd63cf47d1b2
apps/web/public/vendor/valve/video/heroes-favorite/faceless_void.webm	dota/heroes-favorite/faceless_void.webm	https://prereborn.ru/media/dota/heroes-favorite/faceless_void.webm	227764	b243c8b0720d7569268cddde303874b7aa4033ed476b52fa90c8bdd701eeaa87
apps/web/public/vendor/valve/video/heroes-favorite/furion.webm	dota/heroes-favorite/furion.webm	https://prereborn.ru/media/dota/heroes-favorite/furion.webm	181848	892616868edb0a1e29ac079e4c0dfd000c8a8f05940bb6ee37167f2a79669cef
apps/web/public/vendor/valve/video/heroes-favorite/grimstroke.webm	dota/heroes-favorite/grimstroke.webm	https://prereborn.ru/media/dota/heroes-favorite/grimstroke.webm	537328	73379f6e83a8e7deb965622e12022bb14c2e04e7055387259881ab9d29123b25
apps/web/public/vendor/valve/video/heroes-favorite/gyrocopter.webm	dota/heroes-favorite/gyrocopter.webm	https://prereborn.ru/media/dota/heroes-favorite/gyrocopter.webm	1053388	055cec96222071ec1bf323784af40c17391a84dd6bcfdc9399e33627de8f8ee8
apps/web/public/vendor/valve/video/heroes-favorite/hoodwink.webm	dota/heroes-favorite/hoodwink.webm	https://prereborn.ru/media/dota/heroes-favorite/hoodwink.webm	579693	011afe761bc72d67eb5d4e77e83f27eb93950f0c9c4f2de76d0118e7a712494b
